Model,Price,Rating,Inches,RAM_GB,SSD_GB,Storage_Detail,Screen_Width,Screen_Height,Screen_Resolution_Type,CPU_Detail,GPU_Detail,OS_Detail,Price_Category
HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),50399.0,70.0,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,5th Gen AMD Ryzen 5 5600H,4 GB AMD Radeon RX 6500M,Windows 11 OS,1
Tecno Megabook T1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),23990.0,56.0,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,11th Gen Intel Core i3 1115G4,Intel UHD Graphics,Windows 11 OS,0
Lenovo V15 G4 ‎82YU00W7IN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),26989.0,55.0,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,7th Gen AMD Ryzen 3 7320U,AMD Radeon Graphics,Windows 11 OS,0
Samsung Galaxy Book2 Pro 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),69990.0,60.0,13.3,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i5 1240P,Intel Iris Xe Graphics,Windows 11 OS,1
Xiaomi Redmi G Pro 2024 Gaming Laptop (14th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ RTX 4060),102990.0,78.0,16.1,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,14th Gen Intel Core i9 14900HX,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,2
HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),35990.0,55.0,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i3 1215U,Intel UHD Graphics,Windows 11 OS,0
Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB SSD/ MacOS),79990.0,61.5,13.3,8.0,256.0,256 GB SSD,0.0,0.0,Non-IPS,Apple M1,Apple M1 Integrated Graphics,Mac OS,1
Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),42990.0,54.0,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i5 1235U,Intel Integrated UHD,Windows 11 OS,1
HP 15s-fq5330TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),54990.0,56.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i5 1235U,Intel Integrated Iris Xe,Windows 11 OS,1
HP Victus 15-fb1017AX Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),56490.0,69.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,7th Gen Amd Ryzen 5 7535HS,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,1
